Word 1, Word 2
HAND, FIGURE
CASINO, MOSCOW
AUSTRALIA, FILM
HORN, SHOE
DEGREE, NOVEL
ARM, AIR
SPOT, BARK
CAP, BALL
TELESCOPE, SOUND
TOOTH, CONDUCTOR
FENCE, BARK
PLOT, BELL
WITCH, BOND
SPIKE, DOCTOR
JACK, SHOT
CAST, PASTE
AZTEC, BOX
TABLE, LASER
SMUGGLER, FACE
CASINO, CRASH
TICK, MOUSE
PASS, CAR
BANK, COMIC
PENGUIN, JET
GERMANY, CHEST
FILE, MUG
HOOK, SOCK
BACK, SWING
KNIGHT, FORCE
WALL, NUT
SCORPION, FIGHTER
BEAT, HONEY
CHURCH, GREEN
SHOE, DWARF
SLIP, ALPS
LINE, SHAKESPEARE
MAMMOTH, RACKET
NAIL, WHIP
TAIL, LEPRECHAUN
STRIKE, AUSTRALIA
SPIDER, SWITCH
NAIL, SINK
BEACH, FRANCE
TURKEY, ANTARCTICA
CAT, RING
SATURN, SLUG
WIND, TICK
SHIP, BOLT
PIRATE, PILOT
WALL, STRING
CAP, AFRICA
STREAM, CZECH
MOON, SQUARE
BILL, COVER
BAR, SATURN
SWITCH, JUPITER
CONTRACT, COPPER
LION, WAVE
MILLIONAIRE, BOND
TORCH, PILOT
AGENT, MATCH
RAY, WALL
BEAR, MOUTH
LION, LEMON
ROBIN, BAND
GENIUS, HORSE
PRINCESS, TOOTH
TRIANGLE, SMUGGLER
BEACH, CHEST
PISTOL, BELT
GERMANY, BATTERY
POUND, LIMOUSINE
CAST, LAWYER
MILLIONAIRE, FILE
SNOWMAN, CENTER
MODEL, SPIKE
CALF, DRAGON
NINJA, DISEASE
DIAMOND, MOUSE
SHIP, TAG
SLIP, SCREEN
FAIR, AZTEC
DWARF, CROSS
ANTARCTICA, SEAL
HELICOPTER, CARD
MARCH, STADIUM
BUFFALO, TURKEY
HOLLYWOOD, SCUBA DIVER
REVOLUTION, LION
SCREEN, BED
LONDON, LIMOUSINE
CRANE, VET
NURSE, MAIL
LEMON, WHIP
PENGUIN, SPRING
CRANE, COVER
WITCH, SPIKE
BUTTON, APPLE
KING, BUCK
TRIANGLE, PIN
